t_s,T_mean_K
30.2,293.0
30.4,293.0
30.6,293.0
30.8,293.0
31.0,293.0
31.2,293.0
31.4,293.0
31.6,293.0
31.8,293.0
32.0,293.0
32.2,293.0
32.4,293.0
32.6,293.0
32.8,293.0
33.0,293.0
33.2,293.0
33.4,293.0
33.6,293.0
33.8,293.0
34.0,293.0
34.2,293.0
34.4,293.0
34.6,293.0
34.8,293.0
35.0,293.0
35.2,293.0
35.4,293.0
35.6,293.0
35.8,293.0
36.0,293.0
36.2,293.0
36.4,293.0
36.6,293.0
36.8,293.0
37.0,293.0
37.2,293.0
37.4,293.0
37.6,293.0
37.8,293.0
38.0,293.0
38.2,293.0
38.4,293.0
38.6,293.0
38.8,293.0
39.0,293.0
39.2,293.0
39.4,293.0
39.6,293.0
39.8,293.0
40.0,293.0
